,Category,Show,Synopsis
117,Positive,The Book Of Mormon,"The Book of Mormon is a musical comedy. First staged in 2011, the play makes light of various Mormon beliefs and practices, but ultimately endorses the positive power of love and service. The script, lyrics, and music were written by Trey Parker, Robert Lopez, and Matt Stone. Parker and Stone were best known for creating the animated comedy South Park; Lopez had co-written the music for the musical Avenue Q.
The Book of Mormon follows two Mormon missionaries as they attempt to preach the Mormon religion to the inhabitants of a remote Ugandan village. The earnest young men are challenged by the lack of interest of the locals, who are distracted by more pressing issues such as AIDS, famine and oppression from the village warlords.In 2003, after Parker and Stone saw Avenue Q, they met with the musical's co-writer Lopez and began developing the musical, meeting sporadically for several years. Parker and Stone grew up in Colorado, and references to The Church of Jesus Christ of Latter-day Saints had been commonplace in their previous works. For research, the trio took a trip to Salt Lake City to meet with current and former Mormon missionaries. Beginning in 2008, developmental workshops were staged. The show's producers, Scott Rudin and Anne Garefino, opted to open the show directly on Broadway.
The show opened on Broadway in March 2011, after nearly seven years of development. The Church of Jesus Christ of Latter-day Saints responded indifferently; however, they did purchase advertising space in its playbill in later runs. The Book of Mormon garnered overwhelmingly positive critical responses, and set records in ticket sales for the Eugene O'Neill Theatre. The show was awarded nine Tony Awards, one of which was for Best Musical, and a Grammy Award for Best Musical Theater Album. The original Broadway cast recording became the highest-charting Broadway cast album in over four decades, reaching number three on the Billboard charts. In 2013, the musical premiered in the West End, followed by two US national tours. A production in Melbourne and the first non-English version, in Stockholm, both opened in January 2017. Productions in Oslo and Copenhagen followed. 
The Book of Mormon has grossed over $500 million, making it one of the most successful musicals of all time."
118,Neutral,The Bridges Of Madison County,"The Bridges of Madison County is a musical, based on Robert James Waller's 1992 novel, with a book by Marsha Norman and music and lyrics by Jason Robert Brown. The musical premiered on Broadway at the Gerald Schoenfeld Theatre on February 20, 2014, and closed on May 18, 2014. The Broadway production was directed by Bartlett Sher and starred Kelli O'Hara as Francesca and Steven Pasquale as Robert. Brown's work on the musical won the 2014 Tony Awards for ""Best Original Score"" and ""Best Orchestrations"" after the Broadway production had already closed."
119,Positive,The Color Purple 2015,"The Color Purple is a musical with a book by Marsha Norman and music and lyrics by Brenda Russell, Allee Willis, and Stephen Bray. Based on the 1982 novel of the same name by Alice Walker and its 1985 film adaptation, the show follows the journey of Celie, an African-American woman in the American South from the early to mid-20th century.
The original Broadway production ran from 2005 to 2008, earning eleven Tony Award nominations in 2006. An enthusiastically  acclaimed Broadway revival opened in late 2015 and ran through early 2017, winning two 2016 Tony Awards—including Best Revival of a Musical."
120,Positive,The King And I 2015,"The King and I is the fifth musical by the team of composer Richard Rodgers and dramatist Oscar Hammerstein II.  It is based on Margaret Landon's novel, Anna and the King of Siam (1944), which is in turn derived from the memoirs of Anna Leonowens, governess to the children of King Mongkut of Siam in the early 1860s.  The musical's plot relates the experiences of Anna, a British schoolteacher hired as part of the King's drive to modernize his country.  The relationship between the King and Anna is marked by conflict through much of the piece, as well as by a love to which neither can admit. The musical premiered on March 29, 1951, at Broadway's St. James Theatre.  It ran for nearly three years, making it the fourth longest-running Broadway musical in history at the time, and has had many tours and revivals.
In 1950, theatrical attorney Fanny Holtzmann was looking for a part for her client, veteran leading lady Gertrude Lawrence.  Holtzmann realized that Landon's book would provide an ideal vehicle and contacted Rodgers and Hammerstein, who were initially reluctant but agreed to write the musical.  The pair initially sought Rex Harrison to play the supporting part of the King, a role he had played in the 1946 film made from Landon's book, but he was unavailable.  They settled on the young actor and television director Yul Brynner.
The musical was an immediate hit, winning Tony Awards for Best Musical, Best Actress (for Lawrence) and Best Featured Actor (for Brynner).  Lawrence died unexpectedly of cancer a year and a half after the opening, and the role of Anna was played by several actresses during the remainder of the Broadway run of 1,246 performances.  A hit London run and U.S. national tour followed, together with a 1956 film for which Brynner won an Academy Award, and the musical was recorded several times.  In later revivals, Brynner came to dominate his role and the musical, starring in a four-year national tour culminating in a 1985 Broadway run shortly before his death.
Christopher Renshaw directed major revivals on Broadway (1996), winning the  Tony Award for Best Revival, and in the West End (2000). A 2015 Broadway revival won another Tony for Best Revival. Both professional and amateur revivals of The King and I continue to be staged regularly throughout the English-speaking world."
121,Neutral,The Last Ship,"The Last Ship is an original musical with music and lyrics by Sting and a book by John Logan and Brian Yorkey. Inspired by Sting's own childhood experiences and the shipbuilding industry in Wallsend, Tyne and Wear, the musical premiered in the summer of 2014, at the Bank of America Theatre in Chicago, before moving to the Neil Simon Theatre on Broadway. The musical received two Tony Award nominations in 2015, for Best Original Score and Best Orchestrations."
122,Positive,The Lion King,"The Lion King is a musical based on the 1994 Walt Disney Animation Studios' animated feature film of the same name with music by Elton John, lyrics by Tim Rice, and book by Roger Allers and Irene Mecchi, along with additional music and lyrics by Lebo M, Mark Mancina, Jay Rifkin, Julie Taymor, and Hans Zimmer. Directed by Taymor, the musical features actors in animal costumes as well as giant, hollow puppets. The show is produced by Disney Theatrical Productions.The musical debuted on July 8, 1997 in Minneapolis, Minnesota at the Orpheum Theatre and was an instant success before premiering on Broadway at the New Amsterdam Theater on October 15, 1997 in many previews with the official opening on November 13, 1997.  On June 13, 2006, the Broadway  production moved to the Minskoff Theatre to make way for the musical version of Mary Poppins, where it is still running after more than 8,500 performances.  It is Broadway's third longest-running show in history, and has grossed more than $1 billion, making it the highest grossing Broadway production of all time.  Over 95 million people worldwide have seen the musical and it has earned numerous awards and honors, including six Tony Awards, one for Best Musical and Best Direction of a Musical, making director Julie Taymor the first woman to earn such an honor.The show opened in the West End's Lyceum Theatre on October 19, 1999, and is still running after more than 7,500 performances. The cast of the West End production were invited to perform at the Royal Variety Performance in 1999 and 2008, in the presence of senior members of the British Royal Family.In September 2014, The Lion King became the top-earning title in box-office history for both stage productions and films, surpassing the record previously held by The Phantom of the Opera. The Lion King musical has grossed nearly $8.1 billion as of 2017."
123,Neutral,The Little Mermaid,"The Little Mermaid is a stage musical produced by Disney Theatrical, based on the animated 1989 Disney film of the same name and the classic story of the same name by Hans Christian Andersen about a mermaid who dreams of the world above the sea and gives up her voice to find love. Its book is by Doug Wright, music by Alan Menken and lyrics by Howard Ashman (written for the film), with additional lyrics by Glenn Slater. Its underwater setting and story about aquatic characters requires unusual technical designs and strategies to create gliding movements for the actors.
After a pre-Broadway tryout in Denver, Colorado from July to September 2007, the musical began Broadway previews on November 3, 2007 at the Lunt-Fontanne Theatre, replacing Disney's Beauty and the Beast. The production officially opened on January 10, 2008 and closed on August 30, 2009 after 685 performances and 50 previews. It introduced Broadway debuts by director Francesca Zambello and Sierra Boggess in the title role.
Subsequent productions have been seen in US regional theatres and internationally. A modified version of the musical with a new book and direction by Glenn Casale was developed in 2012, and this version is the basis for subsequent productions.

"
124,Positive,The Mystery Of Edwin Drood '12,"The Mystery of Edwin Drood is the final novel by Charles Dickens. The novel was unfinished at the time of Dickens's death on 9 June 1870.
Though the novel is named after the character Edwin Drood, it focuses more on Drood's uncle, John Jasper, a precentor, choirmaster and opium addict, who is in love with his pupil, Rosa Bud. Miss Bud, Edwin Drood's fiancée, has also caught the eye of the high-spirited and hot-tempered Neville Landless. Landless and Edwin Drood take an instant dislike to one another. Later Drood disappears under mysterious circumstances.
The story is set in Cloisterham, a lightly disguised Rochester."
125,Neutral,The People in the Picture,The People in the Picture is a musical with book and lyrics by Iris Rainer Dart and music by Mike Stoller and Artie Butler. The musical is about a grandmother recalling her life in the Yiddish theater and the Holocaust.
126,Positive,The Phantom Of The Opera,"The Phantom of the Opera is a musical with music by Andrew Lloyd Webber and lyrics by Charles Hart. Richard Stilgoe and Lloyd Webber wrote the musical's book together. Stilgoe also provided additional lyrics. Based on the eponymous French novel by Gaston Leroux, its central plot revolves around a beautiful soprano, Christine Daaé, who becomes the obsession of a mysterious, disfigured musical genius living in the subterranean labyrinth beneath the Paris Opéra House.The musical opened in London's West End in 1986, and on Broadway in 1988. It won the 1986 Olivier Award and the 1988 Tony Award for Best Musical, and Michael Crawford (in the title role) won the Olivier and Tony Awards for Best Actor in a Musical. It is the longest running show in Broadway history by a wide margin, and celebrated its 10,000th Broadway performance on 11 February 2012, the first production ever to do so. It is the second longest-running West End musical, after Les Misérables, and the third longest-running West End show overall, after The Mousetrap.With total estimated worldwide gross receipts of over $5.6 billion and total Broadway gross of $845 million, Phantom was the most financially successful entertainment event until The Lion King surpassed it in 2014. By 2011, it had been seen by over 130 million people in 145 cities across 27 countries, and continues to play in London and New York."
127,Negative,The Scottsboro Boys,"The Scottsboro Boys is a musical with a book by David Thompson, music by John Kander and lyrics by Fred Ebb. Based on the Scottsboro Boys trial, the musical is one of the last collaborations between Kander and Ebb prior to the latter's death. The musical has the framework of a minstrel show, altered to ""create a musical social critique"" with a company that, except for one, consists ""entirely of African-American performers"".The musical debuted Off-Broadway and then moved to Broadway in 2010 for a run of only two months. It received twelve Tony Award nominations, but failed to win any. The previous record for nominations without a win was eleven, held by Steel Pier and the original production of Chicago, both also by Kander and Ebb. The musical's twelve nominations were second only to The Book of Mormon, which garnered fourteen nominations that year. Nevertheless, The Scottsboro Boys played in US regional theatres in 2012 and moved to London in 2013, where, after a sell-out production at the Young Vic, it moved to the West End in 2014."
128,Negative,The Story Of My Life,"The Story of My Life is a musical with music and lyrics by Neil Bartram, and a book by Brian Hill.  The show follows two childhood friends from age six to 35 and has only two characters.
The musical debuted at Canadian Stage Company in Toronto in 2006 starring Brent Carver and Jeffrey Kuhn and premiered on Broadway in February 2009, closing after nineteen previews and five regular performances."
129,Neutral,The Visit 2015,"The Visit is a musical with a book by Terrence McNally, lyrics by Fred Ebb, and music by John Kander.
Based on Friedrich Dürrenmatt's 1956 satirical play about greed and revenge Der Besuch der alten Dame, it focuses on one of the world's wealthiest women, Claire Zachanassian, who returns to her financially depressed hometown and offers its residents a new lease on life in exchange for the murder of Anton Schell, the man who abandoned her years ago."
130,Neutral,Tuck Everlasting,"Tuck Everlasting is a musical based upon the American children's novel Tuck Everlasting by Natalie Babbitt. It features music by Chris Miller, lyrics by Nathan Tysen and a book by Claudia Shear and Tim Federle, with direction and choreography by Casey Nicholaw. The musical had its premiere at the Alliance Theater in Atlanta, Georgia, in 2015. It began Broadway previews on March 31, 2016; and opened on April 26, 2016, at the Broadhurst Theatre, in New York City. The production closed on May 29, 2016, after 39 performances."
131,Neutral,Waitress,"Waitress is a musical with music and lyrics by Sara Bareilles and a book by Jessie Nelson. The musical is based on the 2007 film of the same name, written by Adrienne Shelly. It tells the story of Jenna Hunterson, a waitress in an abusive relationship with her husband Earl. When Jenna unexpectedly becomes pregnant, she begins an affair with her gynecologist, Dr. Jim Pomatter. Looking for ways out, she sees a pie contest and its grand prize as her chance.
Stage rights to the film were purchased in 2007, while the musical's creative team was assembled by 2013. The original production of Waitress premiered at the American Repertory Theater in Cambridge in August 2015, with direction by Diane Paulus and choreography by Chase Brock, and starring Jessie Mueller, Drew Gehling, and Joe Tippett as Jenna, Jim, and Earl, respectively. It made its Broadway debut at the Brooks Atkinson Theatre in April 2016. A U.S. national tour began on October 20, 2017. In 2019, Waitress opened at the Adelphi Theatre in London's West End."
132,Neutral,West Side Story,"West Side Story is a musical with book by Arthur Laurents, music by Leonard Bernstein and lyrics by Stephen Sondheim. It was inspired by William Shakespeare's play Romeo and Juliet.
The story is set in the Upper West Side neighborhood in New York City in the mid 1950s, an ethnic, blue-collar neighborhood (in the early 1960s, much of the neighborhood was cleared in an urban renewal project for Lincoln Center, which changed the neighborhood's character). The musical explores the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds. The members of the Sharks, from Puerto Rico, are taunted by the Jets, a white gang. The young protagonist, Tony, a former member of the Jets and best friend of the gang's leader, Riff, falls in love with Maria, the sister of Bernardo, the leader of the Sharks. The dark theme, sophisticated music, extended dance scenes, and focus on social problems marked a turning point in American musical theatre. Bernstein's score for the musical includes ""Something's Coming"", ""Maria"", ""America"", ""Somewhere"", ""Tonight"", ""Jet Song"", ""I Feel Pretty"", ""A Boy Like That"", ""One Hand, One Heart"", ""Gee, Officer Krupke"", and ""Cool"".
The original 1957 Broadway production, conceived, directed and choreographed by Jerome Robbins and produced by Robert E. Griffith and Harold Prince, marked Sondheim's Broadway debut. It ran for 732 performances before going on tour. The production was nominated for six Tony Awards including Best Musical in 1957, but the award for Best Musical went to Meredith Willson's The Music Man. Robbins won the Tony Award for his choreography and Oliver Smith won for his scenic designs. The show had an even longer-running London production, a number of revivals and international productions. A 1961 musical film adaptation, directed by Robert Wise and Robbins, starred Natalie Wood, Richard Beymer, Rita Moreno, George Chakiris and Russ Tamblyn. The film was nominated for eleven Academy Awards and won ten, including George Chakiris for Supporting Actor, Rita Moreno for Supporting Actress, and Best Picture."
133,Positive,Wicked,"Wicked is a Broadway musical with music and lyrics by Stephen Schwartz and book by Winnie Holzman. It is based on the Gregory Maguire novel Wicked: The Life and Times of the Wicked Witch of the West (published in 1995), itself a retelling of the Metro-Goldwyn-Mayer film The Wizard of Oz (1939) and the classic 1900 novel, The Wonderful Wizard of Oz by L. Frank Baum. The musical is told from the perspective of the witches of the Land of Oz; its plot begins before and continues after Dorothy Gale arrives in Oz from Kansas, and includes several references to the 1939 film and Baum's novel. Wicked tells the story of two unlikely friends, Elphaba (the Wicked Witch of the West) and Galinda (whose name later changes to Glinda the Good Witch), who struggle through opposing personalities and viewpoints, rivalry over the same love-interest, reactions to the Wizard's corrupt government, and, ultimately, Elphaba's public fall from grace.
Produced by Universal Stage Productions in coalition with Marc Platt, Jon B. Platt and David Stone, with direction by Joe Mantello and choreography by Wayne Cilento, the original production of Wicked premiered on Broadway at the Gershwin Theatre in October 2003, after completing pre-Broadway tryouts at San Francisco's Curran Theatre in May/June of that same year. Its original stars included Idina Menzel as Elphaba, Kristin Chenoweth as Glinda, and Joel Grey as the Wizard. The original Broadway production won three Tony Awards and six Drama Desk Awards, while its original cast album received a Grammy Award.
Wicked celebrated its tenth anniversary on Broadway on October 30, 2013. On July 12, 2018, with its 6,138th performance, it surpassed A Chorus Line to become Broadway's sixth-longest running show. A typical performance takes approximately two hours and 30 minutes, plus a 15-minute intermission.The success of the Broadway production has spawned several other productions worldwide, including various North American productions, a long-running Laurence Olivier Award–nominated West End production, and a series of international productions. Since its 2003 debut, Wicked has broken box-office records around the world, currently holding weekly-gross-takings records in Los Angeles, Chicago, St. Louis, and London. In the week ending January 2, 2011, the London, Broadway, and both North American touring productions simultaneously broke their respective records for the highest weekly gross. In the final week of 2013, the Broadway production broke this record again, earning $3.2 million. The West End production and the North American tour have each been seen by over two million patrons.
In March 2016, Wicked surpassed $1 billion in total Broadway revenue, joining both The Phantom of the Opera and The Lion King as the only Broadway shows to do so. In July 2017, Wicked surpassed The Phantom of the Opera as Broadway's second-highest grossing musical, trailing only The Lion King."
134,Neutral,Women On The Verge Of A Nervous Breakdown,"For the 1988 film with the same title, see Women on the Verge of a Nervous Breakdown.Women on the Verge of a Nervous Breakdown is a musical with music and lyrics by David Yazbek and a book by Jeffrey Lane. Based on the Pedro Almodóvar film Women on the Verge of a Nervous Breakdown (1988), the musical tells the tale of a group of women in late 20th-century Madrid whose relationships with men lead to a tumultuous 48 hours of love, confusion and passion.
The original Broadway production opened at the Belasco Theatre in October 2010, but had mixed reviews and closed in January 2011 after 30 previews and 69 performances. It was nominated for 3 Tony Awards and 6 Drama Desk Awards. With new direction and production design, the musical transferred to London and opened at the Playhouse Theatre in January 2015, where it received mixed to positive reviews and 2 Laurence Olivier Award nominations. It closed in May of that year."
135,Neutral,Wonderland,"Wonderland: A New Alice, formerly called Wonderland: Alice's New Musical Adventure, is a musical with a book by Jack Murphy and Gregory Boyd, lyrics by Murphy, and music by Frank Wildhorn. The story, a contemporary version of Alice's Adventures in Wonderland and Through the Looking-Glass by Lewis Carroll, is set in New York City and focuses on writer Alice Cornwinkle and her 10-year-old daughter Chloe.
After various workshops and productions of the musical in Tampa, Florida and Houston, Texas, the show premiered on Broadway on April 17, 2011, closing a month later, on May 15, 2011."
136,Neutral,Xanadu,"Xanadu is a musical comedy with a book by Douglas Carter Beane and music and lyrics by Jeff Lynne and John Farrar, based on the 1980 film of the same name, which was, in turn, inspired by the 1947 Rita Hayworth film Down to Earth, a sequel to the 1941 movie Here Comes Mr. Jordan, which was an adaptation of the play Heaven Can Wait by Harry Segall. The title is a reference to the poem Kubla Khan, or A Vision in a Dream. A Fragment, by Samuel Taylor Coleridge. Xanadu is the name of the Chinese province where Khan establishes his pleasure garden in the poem.
The musical opened on Broadway in 2007 and ran for over 500 performances.  It earned an Outer Critics Circle Award for Best Musical and a Drama Desk Award for Best Book.  It was also nominated for Tony Awards for Best Musical and Best Book.  The US Tour officially began on December 15, 2009, in the Orange County Performing Arts Center. A Korean production has opened."
